"ano2"	"dia2"	"GEP"	"Temp"	"PRP"
2005	127.25	8.595	24.6941666666667	7.75
2005	128.25	9.0725	24.575	3.93
2005	129.25	9.38625	24.7633333333333	2.16
2005	130.25	7.38416666666667	26.3620833333333	0.13
2005	131.25	9.465	26.8170833333333	8.26
2005	132.25	9.645	26.2716666666667	2.04
2005	133.25	8.78625	25.8666666666667	3.05
2005	134.25	9.46516664456391	25.9404166666667	3.17
2005	135.25	9.90708333333333	25.3504166666667	8.12
2005	136.25	8.25541666666667	26.5708333333333	13.21
2005	137.25	10.0736220816508	25.895	3.18
2005	138.25	5.06541666666667	23.6045833333333	16.13
2005	139.25	9.4675	24.60125	30.12
2005	140.25	10.2433333333333	24.865	0.38
2005	141.25	8.57125	24.8320833333333	10.03
2005	142.25	8.10017300178303	23.9616666666667	1.27
2005	143.25	9.10833333333333	25.3916666666667	0.38
2005	144.25	9.02333333333333	25.3058333333333	2.92
2005	145.25	6.01872896256439	24.035	10.8
2005	146.25	7.11166666666667	25.1879166666667	0.25
2005	147.25	7.26625	25.4158333333333	4.96
2005	148.25	9.48791666666667	25.7629166666667	2.67
2005	149.25	7.35916666666667	25.1508333333333	8.11
2005	150.25	7.60200043477667	25.00375	14.1
2005	151.25	8.94041666666667	25.1354166666667	3.56
2005	152.25	8.13375	25.1525	0.51
2005	153.25	7.6875	26.16125	2.92
2005	154.25	8.98375	25.715	0.63
2005	155.25	10.5633333333333	26.1975	5.46
2005	156.25	7.07833333333333	26.7025	0.38
2005	157.25	9.49333333333333	25.76875	9.27
2005	158.25	6.85391666666667	25.3758333333333	0.26
2005	159.25	8.59625	25.0516666666667	4.95
2005	160.25	7.84	25.8595833333333	8
2005	161.25	9.57375	26.2854166666667	4.69
2005	162.25	10.7216666666667	25.9479166666667	0
2005	163.25	9.77708333333333	26.85625	0
2005	164.25	11.8020833333333	26.40625	0
2005	165.25	10.4033333333333	25.7433333333333	0
2005	166.25	8.09958333333333	26.71875	0
2005	167.25	11.0441666666667	26.9608333333333	0
2005	168.25	9.21375	26.4575	0
2005	169.25	9.02454722814151	26.4091666666667	0
2005	170.25	11.15375	25.6716666666667	0.38
2005	171.25	8.785	26.2545833333333	0
2005	172.25	8.56416666666667	26.715	0
2005	173.25	8.77166666666667	25.5508333333333	2.29
2005	174.25	8.42	25.0266666666667	0
2005	175.25	9.66333333333333	25.6608333333333	0
2005	176.25	9.37958333333333	25.6491666666667	3.29
2005	177.25	9.68445833333333	25.6054166666667	1.9
2005	178.25	10.3025	24.7945833333333	0.26
2005	179.25	7.79541666666667	26.61125	0
2005	180.25	6.79583333333333	27.40125	0
2005	181.25	7.99416666666667	26.88	0
2005	182.25	7.70591621814774	24.0704166666667	5.21
2005	183.25	5.2360636224441	23.50375	1.01
2005	184.25	7.72541666666667	26.0033333333333	0
2005	185.25	9.14958333333333	26.5345833333333	0
2005	186.25	9.92820833333333	24.0458333333333	0.13
2005	187.25	8.77166666666667	25.6508333333333	0
2005	188.25	7.81791666666667	25.9933333333333	0
2005	189.25	9.295	25.2058333333333	0.25
2005	190.25	6.30684804759733	23.2533333333333	8.64
2005	191.25	9.85819336668011	24.2525	1.4
2005	192.25	8.42333333333333	24.8383333333333	0
2005	193.25	7.795	26.3983333333333	0
