,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.616777420043945,8.601018905639648,9.101018905639648,9.3693208694458,77
1,PatchTST,{},6318090,7.621126651763916,7.695577144622803,8.200191497802734,8.647741317749023,72
2,XCMPlus,{},5635,7.700611114501953,7.658313274383545,8.156155586242676,8.557975769042969,39
3,ConvTranPlus,{},12224,6.816248893737793,6.679819583892822,7.174212455749512,7.634867191314697,47
4,RNNPlus,{},10401,5.0877203941345215,5.056667327880859,5.548982620239258,6.232285976409912,23
5,InceptionTimePlus,{},454977,4.689319610595703,4.672669887542725,5.169692516326904,5.582115173339844,91
6,ResNetPlus,{},478337,4.607579708099365,4.560952186584473,5.058294773101807,5.432229995727539,59
7,TSSequencerPlus,{},210481,1.1294349431991577,1.135063886642456,1.553215742111206,2.1196913719177246,127
8,XceptionTimePlus,{},234865,1.2386958599090576,1.1009379625320435,1.5241360664367676,2.165518045425415,69
9,TransformerLSTMPlus,{},858753,0.9954347610473633,0.9399898052215576,1.333377718925476,1.87618088722229,50
10,TransformerGRUPlus,{},792705,0.9481000304222107,0.9043889045715332,1.2948275804519653,1.8327463865280151,48
