,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.687518119812012,8.67712688446045,9.177124977111816,9.412672996520996,56
1,XCMPlus,{},5635,8.0574369430542,8.01180362701416,8.510689735412598,8.865792274475098,35
2,PatchTST,{},6318090,7.863704204559326,7.834683418273926,8.362985610961914,8.725379943847656,50
3,ConvTranPlus,{},12224,7.373481750488281,7.258950233459473,7.755893707275391,8.160581588745117,33
4,RNNPlus,{},10401,6.070417881011963,6.054128170013428,6.548709869384766,7.115760326385498,16
5,ResNetPlus,{},478337,5.595503807067871,5.560675144195557,6.058685779571533,6.49643087387085,41
6,InceptionTimePlus,{},454977,5.079289436340332,5.103731155395508,5.599537372589111,6.108619689941406,63
7,TSSequencerPlus,{},210481,1.8883739709854126,1.9163211584091187,2.3769874572753906,2.949378252029419,87
8,XceptionTimePlus,{},234865,1.5704922676086426,1.4983878135681152,1.9485204219818115,2.6641712188720703,48
9,TransformerLSTMPlus,{},858753,1.1314748525619507,1.0698471069335938,1.489600419998169,2.036405324935913,36
10,TransformerGRUPlus,{},792705,1.037746787071228,0.9924554824829102,1.4022390842437744,1.9416110515594482,36
