,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.394597053527832,8.403007507324219,8.90300464630127,9.124917030334473,157
1,PatchTST,{},6318090,7.191503524780273,7.2049241065979,7.648474216461182,8.2898588180542,155
2,XCMPlus,{},5635,5.96333646774292,5.942356109619141,6.437981128692627,6.917525291442871,73
3,ConvTranPlus,{},12224,3.780447483062744,3.6993067264556885,4.186818599700928,4.833694934844971,94
4,RNNPlus,{},10401,2.8758835792541504,2.907338857650757,3.376883029937744,4.3543782234191895,47
5,ResNetPlus,{},478337,2.1274240016937256,2.114988327026367,2.593766212463379,3.1391501426696777,120
6,InceptionTimePlus,{},454977,1.6202205419540405,1.6125270128250122,2.085799217224121,2.541966676712036,184
7,TransformerLSTMPlus,{},858753,0.9206687808036804,0.8688201904296875,1.2633248567581177,1.788368821144104,103
8,TransformerGRUPlus,{},792705,0.8991550207138062,0.8560351133346558,1.249880313873291,1.7744790315628052,103
9,TSSequencerPlus,{},210481,0.845615029335022,0.8219108581542969,1.1991174221038818,1.7323780059814453,254
10,XceptionTimePlus,{},234865,0.939795196056366,0.7765381932258606,1.1644660234451294,1.6824979782104492,142
