,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.556068420410156,8.531389236450195,9.031377792358398,9.259200096130371,188
1,PatchTST,{},6318090,7.163794040679932,7.208722114562988,7.654609203338623,8.229270935058594,302
2,XCMPlus,{},5635,6.637310981750488,6.613192081451416,7.110269546508789,7.554619312286377,60
3,ConvTranPlus,{},12224,5.545590400695801,5.416050434112549,5.908616542816162,6.415970802307129,73
4,InceptionTimePlus,{},454977,4.345782279968262,4.391523361206055,4.885974884033203,5.358870983123779,269
5,ResNetPlus,{},478337,4.201498508453369,4.253716945648193,4.747586727142334,5.283462047576904,144
6,RNNPlus,{},10401,3.686427116394043,3.688058376312256,4.174119472503662,4.944746971130371,33
7,XceptionTimePlus,{},234865,1.1490198373794556,0.992382824420929,1.4062809944152832,2.0163087844848633,345
8,TSSequencerPlus,{},210481,0.9845969676971436,0.9746050834655762,1.3807430267333984,1.9341251850128174,465
9,TransformerLSTMPlus,{},858753,0.9473596811294556,0.9005924463272095,1.2918637990951538,1.8242405652999878,253
10,TransformerGRUPlus,{},792705,0.913439929485321,0.8774868845939636,1.2701802253723145,1.7985453605651855,450
