Architecture,Min_Train_Value
XCMPlus,3.2103617191314697
ConvTranPlus,0.6409907341003418
TSSequencerPlus,0.5825603604316711
RNNPlus,1.7794256210327148
ResNetPlus,0.533970832824707
InceptionTimePlus,0.4731552302837372
TSTPlus,7.156454086303711
TransformerLSTMPlus,0.8031931519508362
XceptionTimePlus,0.6432057619094849
TransformerGRUPlus,0.7993521690368652
PatchTST,6.9431047439575195
