,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,TSTPlus,398849,8.664872169494629,8.781570434570312,9.281570434570312,9.557408332824707,27,50
1,TSTPlus,398849,8.575987815856934,8.699910163879395,9.199910163879395,9.468241691589355,54,100
2,TSTPlus,398849,8.486995697021484,8.617605209350586,9.117605209350586,9.377204895019531,83,150
3,TSTPlus,398849,8.408380508422852,8.535456657409668,9.035456657409668,9.286548614501953,112,200
4,TSTPlus,398849,8.295317649841309,8.406647682189941,8.906647682189941,9.152610778808594,141,250
5,TSTPlus,398849,8.171625137329102,8.288586616516113,8.788586616516113,9.024917602539062,170,300
6,TSTPlus,398849,8.050484657287598,8.151623725891113,8.651622772216797,8.873644828796387,199,350
7,TSTPlus,398849,7.889520645141602,7.998117446899414,8.498102188110352,8.719667434692383,228,400
