,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,PatchTST,6318090,8.240548133850098,8.285552978515625,8.76291275024414,9.153643608093262,26,50
1,PatchTST,6318090,8.059928894042969,8.078617095947266,8.530216217041016,9.115704536437988,54,100
2,PatchTST,6318090,7.649599075317383,8.042035102844238,8.443984985351562,9.80203914642334,136,250
3,PatchTST,6318090,7.926408290863037,8.029858589172363,8.471375465393066,9.302613258361816,81,150
4,PatchTST,6318090,7.802618503570557,8.017889976501465,8.436068534851074,9.524033546447754,108,200
5,PatchTST,6318090,7.489213466644287,7.962550640106201,8.280471801757812,10.285614967346191,190,350
6,PatchTST,6318090,7.374874114990234,7.922606945037842,8.20826530456543,10.487098693847656,218,400
7,PatchTST,6318090,7.598904609680176,7.921297550201416,8.285221099853516,9.907094955444336,163,300
