,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,XceptionTimePlus,234865,5.296572685241699,5.226760387420654,5.720166206359863,6.1338582038879395,24,50
1,XceptionTimePlus,234865,1.4519363641738892,1.4027633666992188,1.8440406322479248,2.395240306854248,49,100
2,XceptionTimePlus,234865,1.088952898979187,0.9707022309303284,1.3885388374328613,1.8739502429962158,74,150
3,XceptionTimePlus,234865,0.912044107913971,0.8002314567565918,1.206059217453003,1.6171094179153442,99,200
4,XceptionTimePlus,234865,0.8244234919548035,0.712931215763092,1.109721302986145,1.50925612449646,124,250
5,XceptionTimePlus,234865,0.7622082233428955,0.6599777936935425,1.054569959640503,1.4127331972122192,173,350
6,XceptionTimePlus,234865,0.7874436378479004,0.6584293842315674,1.051139235496521,1.4236998558044434,148,300
7,XceptionTimePlus,234865,0.7276017665863037,0.6173568964004517,1.0058473348617554,1.3582487106323242,197,400
8,XceptionTimePlus,234865,0.7268062829971313,0.6015612483024597,0.9868616461753845,1.3390249013900757,222,450
9,XceptionTimePlus,234865,0.6655825972557068,0.5887296199798584,0.9736427664756775,1.3148837089538574,270,550
10,XceptionTimePlus,234865,0.6850922703742981,0.5863390564918518,0.9694191217422485,1.321067452430725,246,500
11,XceptionTimePlus,234865,0.6637936234474182,0.5754214525222778,0.9590105414390564,1.2984681129455566,296,600
