,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,XCMPlus,5635,8.343624114990234,8.454996109008789,8.954164505004883,9.28178596496582,17,50
1,XCMPlus,5635,7.971569061279297,8.0751371383667,8.573684692382812,8.906967163085938,31,100
2,XCMPlus,5635,7.585601806640625,7.669597625732422,8.167638778686523,8.505850791931152,45,150
3,XCMPlus,5635,7.185128211975098,7.28103494644165,7.778472900390625,8.123689651489258,59,200
4,XCMPlus,5635,6.755335330963135,6.863892078399658,7.359705924987793,7.733838081359863,73,250
5,XCMPlus,5635,6.200451374053955,6.341279983520508,6.837214946746826,7.242826461791992,86,300
6,XCMPlus,5635,5.635529041290283,5.803844451904297,6.299169063568115,6.739264488220215,101,350
7,XCMPlus,5635,5.12370491027832,5.276543617248535,5.770693302154541,6.237769603729248,115,400
