,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.429619789123535,8.418864250183105,8.918828964233398,9.14051628112793,130
1,PatchTST,{},6318090,7.463242053985596,7.511326789855957,7.993068218231201,8.549721717834473,122
2,XCMPlus,{},5635,6.544980525970459,6.48375940322876,6.981053352355957,7.319255828857422,61
3,ConvTranPlus,{},12224,4.949446678161621,4.869542121887207,5.362364292144775,5.851119518280029,78
4,InceptionTimePlus,{},454977,3.4610421657562256,3.509913682937622,4.000565052032471,4.588851451873779,153
5,RNNPlus,{},10401,3.4663827419281006,3.47699236869812,3.959287405014038,4.78699254989624,39
6,ResNetPlus,{},478337,2.0828144550323486,2.085883140563965,2.568434238433838,3.0452308654785156,100
7,XceptionTimePlus,{},234865,1.0334842205047607,0.8940338492393494,1.2970298528671265,1.8627831935882568,117
8,TransformerLSTMPlus,{},858753,0.92588210105896,0.8782920241355896,1.2711066007614136,1.8004207611083984,85
9,TransformerGRUPlus,{},792705,0.9045987129211426,0.8631875514984131,1.2568336725234985,1.7829335927963257,81
10,TSSequencerPlus,{},210481,0.8806137442588806,0.854779064655304,1.2359449863433838,1.78069007396698,211
