,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.14627742767334,8.101080894470215,8.601056098937988,8.83327865600586,211
1,PatchTST,{},6318090,6.592252731323242,6.603423595428467,7.000744342803955,7.657105922698975,199
2,XCMPlus,{},5635,5.681328773498535,5.63467264175415,6.128118991851807,6.64679479598999,114
3,InceptionTimePlus,{},454977,2.5529563426971436,2.551887273788452,3.0394654273986816,3.4978723526000977,229
4,ConvTranPlus,{},12224,2.5928239822387695,2.4868876934051514,2.959437370300293,3.6646888256073,123
5,RNNPlus,{},10401,2.3934683799743652,2.45062255859375,2.906496047973633,3.9540178775787354,73
6,ResNetPlus,{},478337,1.472220778465271,1.4838298559188843,1.9516689777374268,2.4108662605285645,159
7,TransformerLSTMPlus,{},858753,0.9134210348129272,0.8601717352867126,1.2540686130523682,1.7800674438476562,140
8,TransformerGRUPlus,{},792705,0.8956515789031982,0.8497244715690613,1.242642879486084,1.7670687437057495,139
9,TSSequencerPlus,{},210481,0.8178139925003052,0.7926356196403503,1.172006607055664,1.6899166107177734,321
10,XceptionTimePlus,{},234865,0.8858999609947205,0.7329635620117188,1.101260781288147,1.6712982654571533,195
