,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.074563026428223,8.045733451843262,8.545676231384277,8.785290718078613,248
1,PatchTST,{},6318090,6.441945552825928,6.359949588775635,6.735401153564453,7.417797565460205,221
2,XCMPlus,{},5635,4.955238342285156,4.902596950531006,5.398665904998779,5.796670913696289,125
3,RNNPlus,{},10401,2.3720622062683105,2.435171365737915,2.8892014026641846,3.9974441528320312,85
4,ConvTranPlus,{},12224,1.7507894039154053,1.6630189418792725,2.112006902694702,2.747654676437378,155
5,TransformerLSTMPlus,{},858753,0.9090625047683716,0.8545796871185303,1.2482988834381104,1.7731925249099731,166
6,TransformerGRUPlus,{},792705,0.8960844874382019,0.8477751016616821,1.2399768829345703,1.7656630277633667,154
7,ResNetPlus,{},478337,0.8731732964515686,0.8130047917366028,1.21692955493927,1.6714104413986206,187
8,InceptionTimePlus,{},454977,0.7794543504714966,0.7754606604576111,1.182702660560608,1.6286007165908813,275
9,TSSequencerPlus,{},210481,0.7652889490127563,0.7424641251564026,1.1195428371429443,1.6162325143814087,386
10,XceptionTimePlus,{},234865,0.840050995349884,0.6972737312316895,1.0625660419464111,1.5788588523864746,213
