,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,7.754341125488281,7.757236957550049,8.257200241088867,8.508557319641113,279
1,PatchTST,{},6318090,6.262262344360352,6.216190814971924,6.590269565582275,7.28633451461792,258
2,XCMPlus,{},5635,4.781308174133301,4.728468418121338,5.22023344039917,5.76839542388916,141
3,RNNPlus,{},10401,2.1867482662200928,2.2571964263916016,2.704580783843994,3.810983180999756,95
4,ConvTranPlus,{},12224,1.2144209146499634,1.135716199874878,1.552228331565857,2.1893789768218994,177
5,InceptionTimePlus,{},454977,1.0038102865219116,1.015305757522583,1.453413963317871,1.9070625305175781,306
6,TransformerLSTMPlus,{},858753,0.9014489650726318,0.8552234768867493,1.249940037727356,1.7720729112625122,184
7,TransformerGRUPlus,{},792705,0.8948538899421692,0.8425850868225098,1.2330522537231445,1.760098934173584,179
8,TSSequencerPlus,{},210481,0.782366931438446,0.7493098974227905,1.1240943670272827,1.6270960569381714,445
9,XceptionTimePlus,{},234865,0.8319889307022095,0.6786190271377563,1.0373953580856323,1.5643781423568726,243
10,ResNetPlus,{},478337,0.6607967019081116,0.6034129858016968,0.9571764469146729,1.4279011487960815,211
