,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,ResNetPlus,478337,6.093471527099609,6.120491027832031,6.617708683013916,6.955036640167236,21,50
1,ResNetPlus,478337,5.118162631988525,5.203765869140625,5.700367450714111,6.044546604156494,42,100
2,ResNetPlus,478337,4.416918754577637,4.494696140289307,4.990382671356201,5.352209091186523,64,150
3,ResNetPlus,478337,3.7261879444122314,3.784985065460205,4.279666900634766,4.641844272613525,86,200
4,ResNetPlus,478337,2.9878005981445312,3.061034917831421,3.550854444503784,3.9479997158050537,108,250
5,ResNetPlus,478337,2.2050940990448,2.243553400039673,2.7285149097442627,3.1233913898468018,129,300
6,ResNetPlus,478337,1.4906141757965088,1.4780535697937012,1.9417784214019775,2.3172149658203125,151,350
7,ResNetPlus,478337,0.8891689777374268,0.842347264289856,1.2611677646636963,1.6325386762619019,172,400
