,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,InceptionTimePlus,454977,5.539955139160156,5.694917678833008,6.189239978790283,6.66269063949585,32,50
1,InceptionTimePlus,454977,4.618405342102051,4.796260833740234,5.290382385253906,5.825343132019043,64,100
2,InceptionTimePlus,454977,3.8659629821777344,4.031857490539551,4.523917198181152,5.057135581970215,96,150
3,InceptionTimePlus,454977,3.1520228385925293,3.299959182739258,3.785494089126587,4.381995677947998,129,200
4,InceptionTimePlus,454977,2.4097275733947754,2.5370726585388184,3.0188794136047363,3.5424816608428955,161,250
5,InceptionTimePlus,454977,1.6684091091156006,1.7339483499526978,2.1979739665985107,2.6569387912750244,193,300
6,InceptionTimePlus,454977,1.0235724449157715,1.0358912944793701,1.4632463455200195,1.8669545650482178,226,350
7,InceptionTimePlus,454977,0.6336913704872131,0.6226652264595032,1.0056010484695435,1.3657054901123047,259,400
