,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,TransformerLSTMPlus,858753,2.5212714672088623,2.583888292312622,3.0632054805755615,3.552495241165161,19,50
1,TransformerLSTMPlus,858753,1.043272852897644,1.064584493637085,1.483426570892334,1.9497075080871582,39,100
2,TransformerLSTMPlus,858753,0.915469229221344,0.888734757900238,1.299072265625,1.7187849283218384,59,150
3,TransformerLSTMPlus,858753,0.8664682507514954,0.8315080404281616,1.2374447584152222,1.6454222202301025,78,200
4,TransformerLSTMPlus,858753,0.8457801342010498,0.8067495226860046,1.2106705904006958,1.6168767213821411,98,250
5,TransformerLSTMPlus,858753,0.843139111995697,0.7957404851913452,1.1982589960098267,1.6032732725143433,118,300
6,TransformerLSTMPlus,858753,0.8298751711845398,0.7881312370300293,1.1901428699493408,1.5946214199066162,138,350
7,TransformerLSTMPlus,858753,0.8298071026802063,0.7835718989372253,1.1854387521743774,1.588712453842163,157,400
