,arch,hyperparams,total params,train loss,valid loss,mae_valid,rmse_valid,time
0,TSTPlus,{},398849,8.558343887329102,8.54386043548584,9.043856620788574,9.27694320678711,151
1,PatchTST,{},6318090,7.574179649353027,7.595109462738037,8.103185653686523,8.549017906188965,244
2,XCMPlus,{},5635,7.509689807891846,7.522345066070557,8.02060317993164,8.51059341430664,45
3,ConvTranPlus,{},12224,6.640415191650391,6.510666847229004,7.004342079162598,7.46592378616333,53
4,InceptionTimePlus,{},454977,4.927713871002197,4.974437713623047,5.469246864318848,6.087086200714111,201
5,RNNPlus,{},10401,4.613448619842529,4.596907138824463,5.087921142578125,5.7709574699401855,29
6,ResNetPlus,{},478337,4.162792205810547,4.133063316345215,4.62962532043457,5.022754669189453,123
7,TSSequencerPlus,{},210481,1.2914628982543945,1.3110535144805908,1.7430309057235718,2.3161187171936035,310
8,XceptionTimePlus,{},234865,1.2520910501480103,1.1304948329925537,1.553605079650879,2.221078872680664,262
9,TransformerLSTMPlus,{},858753,1.000321626663208,0.93889319896698,1.3326129913330078,1.8729133605957031,186
10,TransformerGRUPlus,{},792705,0.9371460676193237,0.8957259058952332,1.2867432832717896,1.820562720298767,360
