,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,RNNPlus,10401,7.407005786895752,7.519462585449219,8.017840385437012,8.385448455810547,9,50
1,RNNPlus,10401,6.089743137359619,6.215401649475098,6.711832046508789,7.184047698974609,19,100
2,RNNPlus,10401,5.008655071258545,5.12570333480835,5.618363857269287,6.197361946105957,28,150
3,RNNPlus,10401,4.1074538230896,4.248656272888184,4.740397930145264,5.418179988861084,38,200
4,RNNPlus,10401,3.4181137084960938,3.542487859725952,4.026955604553223,4.805342197418213,48,250
5,RNNPlus,10401,2.850093126296997,2.978616237640381,3.454029083251953,4.329395771026611,58,300
6,RNNPlus,10401,2.4306492805480957,2.541464328765869,3.0033156871795654,3.9705986976623535,67,350
7,RNNPlus,10401,2.140345573425293,2.2478790283203125,2.693181276321411,3.7307333946228027,77,400
