,arch,total params,train loss,valid loss,mae_valid,rmse_valid,time,epochs
0,TSTPlus,398849,8.621952056884766,8.737666130065918,9.237666130065918,9.403519630432129,27,50
1,TSTPlus,398849,8.53775405883789,8.6485013961792,9.1485013961792,9.308487892150879,53,100
2,TSTPlus,398849,8.466536521911621,8.548983573913574,9.048983573913574,9.20616340637207,80,150
3,TSTPlus,398849,8.385685920715332,8.508984565734863,9.008984565734863,9.159036636352539,107,200
4,TSTPlus,398849,8.275654792785645,8.387275695800781,8.887267112731934,9.036005020141602,134,250
5,TSTPlus,398849,8.157410621643066,8.25683879852295,8.756799697875977,8.904380798339844,161,300
6,TSTPlus,398849,8.03282356262207,8.17871379852295,8.67863655090332,8.82490348815918,189,350
7,TSTPlus,398849,7.867659091949463,7.962993621826172,8.46281623840332,8.611093521118164,217,400
8,TSTPlus,398849,7.710227966308594,7.819077014923096,8.318803787231445,8.468884468078613,245,450
9,TSTPlus,398849,7.5369157791137695,7.591948986053467,8.091726303100586,8.248546600341797,274,500
10,TSTPlus,398849,7.353830337524414,7.435575008392334,7.935408592224121,8.086962699890137,301,550
11,TSTPlus,398849,7.163266658782959,7.231983184814453,7.731879711151123,7.904403209686279,328,600
