TIMESTAMP,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,P_ERA,WS_ERA
199406,24.601,24.12,0.527,25.008,0.921,141.199,412.903,4.252,97.993,8.562,1.68
199407,24.924,24.117,0.779,25.606,1.342,189.843,401.163,5.171,98.01,5.073,1.714
199408,25.313,24.535,0.757,25.971,1.268,210.645,404.063,5.153,97.949,5.714,1.62
199409,25.859,25.002,0.787,26.583,1.345,236.584,406.458,5.642,97.84,6.222,1.846
199410,25.746,24.953,0.793,26.417,1.272,226.005,411.317,5.472,97.713,5.979,1.857
199411,25.88,25.148,0.678,26.5,1.196,220.641,411.726,5.435,97.695,6.664,1.807
199412,25.72,25.22,0.594,26.142,1.025,191.648,415.555,5.101,97.709,7.254,1.946
199501,25.272,24.827,0.588,25.65,0.961,177.369,416.035,4.489,97.823,8.077,1.953
199502,25.642,25.111,0.731,26.091,1.141,206.165,415.113,5.578,97.867,5.639,2.043
199503,25.268,24.852,0.522,25.62,0.835,171.98,420.179,4.184,97.759,9.547,1.623
199504,25.338,24.923,0.445,25.69,0.782,150.276,423.918,4.004,97.724,8.807,1.61
199505,25.116,24.647,0.469,25.513,0.816,151.045,421.196,4.025,97.88,7.696,1.216
199506,25.388,24.712,0.638,25.96,1.135,180.134,412.75,4.844,97.945,5.903,1.574
199507,25.436,24.529,0.845,26.204,1.464,210.097,403.653,5.899,97.905,4.356,1.675
199508,26.543,25.536,0.951,27.395,1.701,246.224,403.363,7.15,97.836,3.637,1.843
199509,26.062,25.213,0.819,26.78,1.304,234.522,408.739,5.716,97.867,6.493,1.749
199510,26.333,25.446,0.812,27.084,1.352,245.035,409.991,6.183,97.68,5.472,1.701
199511,25.806,25.181,0.64,26.334,1.076,210.147,416.455,5.058,97.703,7.078,1.534
199512,25.648,25.036,0.63,26.166,1.061,204.643,414.012,4.778,97.738,7.462,1.553
199601,25.059,24.505,0.633,25.528,1.044,184.977,415.372,4.518,97.695,7.454,1.29
199602,25.003,24.53,0.604,25.402,0.934,182.966,417.034,4.257,97.749,8.402,1.369
199603,24.955,24.541,0.48,25.305,0.767,155.188,421.126,3.886,97.786,9.862,1.476
199604,24.892,24.504,0.399,25.221,0.695,137.222,422.282,3.814,97.825,10.186,1.246
199605,25.168,24.653,0.491,25.604,0.871,162.719,419.834,4.239,97.911,7.954,1.075
199606,24.932,24.347,0.57,25.427,0.923,162.268,414.607,4.289,97.988,7.265,1.504
199607,25.011,24.23,0.685,25.672,1.257,196.057,404.892,4.937,98.048,6.239,1.55
199608,25.299,24.451,0.753,26.017,1.314,211.333,404.343,5.23,97.946,4.966,1.635
199609,26.163,25.291,0.846,26.9,1.477,242.999,406.542,6.182,97.797,5.393,1.897
199610,26.237,25.371,0.824,26.97,1.39,252.707,407.982,6.158,97.716,5.638,2.009
199611,25.923,25.248,0.661,26.494,1.13,222.528,412.234,5.378,97.597,6.99,1.711
199612,26.062,25.288,0.78,26.717,1.332,227.907,410.253,6.129,97.67,5.234,1.972
199701,25.147,24.707,0.515,25.52,0.863,166.706,417.174,4.194,97.736,8.349,1.59
199702,25.084,24.586,0.694,25.505,1.08,195.194,413.371,4.39,97.785,8.463,1.81
199703,24.94,24.571,0.438,25.253,0.729,140.085,422.488,3.899,97.78,12.828,1.567
199704,25.172,24.715,0.515,25.558,0.855,161.378,419.112,4.136,97.853,10.38,1.624
199705,25.26,24.73,0.518,25.707,0.921,167.377,416.005,4.354,97.905,8.213,1.751
199706,25.751,24.857,0.838,26.507,1.475,210.633,403.678,5.803,97.858,4.137,1.771
199707,25.636,24.722,0.802,26.41,1.501,216.117,401.379,5.719,97.993,5.09,1.928
199708,25.722,24.924,0.788,26.397,1.321,219.223,404.916,5.718,97.996,4.928,1.779
199709,26.961,25.892,1.017,27.866,1.765,263.801,407.108,8.005,97.77,3.181,1.994
199710,27.946,26.879,1.047,28.849,1.805,283.698,413.554,9.706,97.638,3.082,2.202
199711,27.339,26.49,0.896,28.057,1.502,253.456,416.223,8.239,97.656,4.619,1.982
199712,27.816,27.096,1.075,28.424,1.743,251.669,417.604,9.817,97.692,3.518,2.396
199801,26.348,25.868,0.699,26.754,1.169,209.943,419.535,5.594,97.714,7.009,1.955
199802,26.933,26.404,0.773,27.38,1.281,225.064,421.055,6.647,97.775,6.531,2.24
199803,25.865,25.437,0.544,26.228,0.917,183.27,424.373,4.246,97.756,10.222,1.81
199804,26.257,25.756,0.546,26.682,0.945,189.586,424.891,4.462,97.73,8.553,1.654
199805,25.879,25.323,0.52,26.349,0.916,174.351,422.88,4.389,97.894,7.215,1.448
199806,25.636,24.929,0.684,26.235,1.193,195.035,408.767,4.906,98.01,6.59,1.648
199807,25.598,24.778,0.778,26.291,1.378,207.645,407.174,5.332,97.977,5.266,1.656
199808,26.331,25.444,0.858,27.082,1.567,231.529,407.182,6.327,97.84,4.511,1.789
199809,26.384,25.44,0.916,27.182,1.546,247.502,409.142,6.361,97.799,4.771,1.852
199810,26.879,25.841,1.004,27.758,1.658,262.137,410.318,7.355,97.738,3.977,2.072
199811,27.231,26.307,1.034,28.012,1.688,243.701,416.43,8.592,97.616,3.378,1.656
199812,26.411,25.652,0.878,27.054,1.46,226.584,416.007,6.586,97.67,5.182,1.756
199901,25.237,24.724,0.585,25.671,1.003,172.524,417.715,4.528,97.695,8.428,1.451
199902,24.993,24.514,0.552,25.397,0.929,174.087,417.844,4.087,97.77,9.768,1.406
199903,25.141,24.664,0.509,25.545,0.897,168.784,420.866,4.199,97.711,8.948,1.382
199904,25.045,24.529,0.506,25.482,0.855,170.954,418.83,4.044,97.851,8.31,1.352
199905,24.805,24.285,0.532,25.245,0.903,149.032,420.196,4.005,97.938,8.88,1.141
199906,24.961,24.328,0.655,25.496,1.096,166.365,412.771,4.302,97.908,7.076,1.529
199907,25.212,24.266,0.89,26.012,1.545,211.333,400.547,5.454,98.0,4.999,1.671
199908,26.008,24.988,0.909,26.872,1.703,242.882,402.392,6.443,97.92,4.4,1.731
199909,25.898,24.977,0.904,26.677,1.524,229.559,407.506,6.015,97.773,5.593,1.819
199910,26.275,25.245,0.96,27.146,1.667,259.121,406.805,6.877,97.783,4.112,1.643
199911,26.154,25.291,0.807,26.884,1.399,227.373,413.719,6.279,97.646,4.693,1.76
199912,25.503,24.937,0.604,25.981,1.051,181.248,415.967,5.032,97.678,7.239,1.542
200001,24.889,24.348,0.618,25.347,1.022,178.083,415.342,4.433,97.695,7.66,1.286
200002,24.651,24.16,0.539,25.067,0.905,168.712,415.521,4.093,97.869,8.858,1.388
200003,24.592,24.152,0.433,24.963,0.777,138.62,419.718,3.829,97.764,13.774,1.383
200004,24.669,24.218,0.394,25.052,0.737,142.266,421.801,3.827,97.862,10.545,1.036
200005,25.165,24.579,0.561,25.66,1.015,170.32,418.142,4.311,97.889,7.883,1.399
200006,25.083,24.442,0.654,25.626,1.123,178.071,410.186,4.62,97.948,6.928,1.694
200007,24.752,24.11,0.641,25.295,1.105,173.504,409.134,4.508,97.939,6.755,1.554
200008,25.792,24.908,0.957,26.54,1.566,226.742,403.57,5.955,97.896,4.383,1.816
200009,25.467,24.662,0.806,26.149,1.346,215.957,407.803,5.281,97.815,6.507,1.804
200010,26.327,25.365,0.993,27.141,1.574,254.485,407.639,6.592,97.779,4.361,1.907
200011,26.188,25.35,0.801,26.897,1.323,233.429,411.385,5.945,97.592,5.551,1.807
200012,26.135,25.44,0.817,26.724,1.302,225.147,410.708,6.277,97.715,5.688,1.978
200101,24.583,24.166,0.512,24.936,0.854,155.336,415.713,4.06,97.864,10.068,1.655
200102,24.742,24.283,0.56,25.129,0.935,171.023,415.498,4.106,97.78,8.773,1.706
200103,25.202,24.698,0.539,25.629,0.927,178.818,418.054,4.308,97.814,9.205,1.813
200104,24.974,24.456,0.468,25.411,0.813,160.119,420.246,3.986,97.862,8.349,1.521
200105,25.317,24.719,0.628,25.823,1.053,167.288,416.241,4.434,97.863,6.343,1.604
200106,24.506,24.047,0.45,24.895,0.794,139.271,415.791,3.884,98.018,8.144,1.497
200107,24.937,24.244,0.707,25.523,1.18,180.497,408.597,4.432,97.97,6.373,1.744
200108,26.315,25.358,0.866,27.125,1.599,239.627,403.063,6.788,97.972,4.215,1.995
200109,25.706,24.885,0.832,26.4,1.335,224.709,407.336,5.539,97.824,5.861,1.758
200110,26.78,25.732,0.942,27.668,1.631,260.271,410.648,7.307,97.725,3.671,2.128
200111,27.098,26.121,0.97,27.925,1.622,253.963,413.321,7.901,97.627,3.421,2.162
200112,26.464,25.814,0.683,27.013,1.15,221.902,414.908,6.133,97.584,6.28,2.227
200201,25.246,24.774,0.591,25.645,0.944,170.718,419.152,4.315,97.774,8.972,1.653
200202,25.227,24.84,0.496,25.554,0.847,166.646,422.169,4.141,97.804,10.588,1.972
200203,25.349,24.893,0.526,25.734,0.899,176.231,421.432,4.4,97.799,9.076,1.709
200204,25.275,24.789,0.482,25.687,0.84,159.254,422.839,4.059,97.749,8.848,1.421
200205,25.326,24.842,0.474,25.736,0.846,163.679,418.739,4.091,97.852,7.965,1.598
200206,24.997,24.337,0.621,25.555,1.052,167.569,412.717,4.423,98.0,6.424,1.695
200207,25.454,24.679,0.73,26.11,1.312,198.051,405.8,5.005,97.992,6.199,1.872
200208,25.763,24.807,0.906,26.572,1.529,232.443,401.662,5.743,97.902,5.282,1.983
200209,26.908,25.738,1.044,27.897,1.872,275.43,403.721,8.161,97.797,2.89,2.254
200210,27.797,26.649,1.161,28.769,2.0,290.355,410.07,10.394,97.67,1.751,2.42
200211,27.143,26.199,1.021,27.942,1.723,260.26,411.355,8.706,97.712,3.653,2.088
200212,26.65,26.007,0.804,27.193,1.329,222.057,415.711,7.149,97.768,5.422,2.01
200301,26.879,26.234,0.91,27.425,1.499,226.202,415.802,8.307,97.778,3.889,2.447
200302,25.223,24.873,0.485,25.52,0.812,151.2,421.037,4.242,97.802,10.649,2.088
200303,25.159,24.687,0.415,25.558,0.868,154.038,422.891,4.351,97.8,8.781,1.918
200304,25.44,24.934,0.453,25.868,0.873,161.927,423.339,4.386,97.831,10.853,1.706
200305,25.439,24.882,0.581,25.911,0.976,166.19,418.025,4.339,97.869,7.229,1.621
200306,25.365,24.709,0.63,25.919,1.093,177.627,412.044,4.46,97.898,6.831,1.697
200307,25.546,24.695,0.801,26.265,1.411,203.091,405.709,5.315,97.971,5.753,1.717
200308,25.716,24.872,0.756,26.431,1.352,213.849,407.232,5.313,97.953,5.494,1.687
200309,26.325,25.361,0.912,27.141,1.527,242.868,409.363,6.241,97.83,4.891,1.919
200310,27.023,26.076,0.933,27.823,1.595,258.556,412.698,7.458,97.67,4.028,2.028
200311,26.081,25.316,0.734,26.729,1.176,216.358,414.286,5.672,97.649,6.112,1.936
200312,25.949,25.242,0.64,26.547,1.172,210.91,413.049,5.548,97.705,6.759,2.089
200401,25.329,24.888,0.468,25.703,0.795,157.208,421.614,4.069,97.716,9.922,1.438
200402,24.873,24.519,0.404,25.171,0.682,130.163,422.474,4.055,97.836,12.402,1.756
200403,25.178,24.789,0.341,25.507,0.722,139.683,425.205,3.877,97.758,10.576,1.815
200404,25.35,24.916,0.442,25.718,0.821,141.725,425.685,4.134,97.765,11.312,1.649
200405,25.099,24.636,0.456,25.49,0.8,137.529,421.784,4.132,97.869,8.591,1.507
200406,24.837,24.267,0.582,25.32,1.021,163.838,410.898,4.395,98.026,7.074,1.669
200407,24.952,24.245,0.717,25.55,1.223,181.111,407.699,4.963,97.938,5.479,1.606
200408,25.457,24.636,0.827,26.152,1.384,205.268,406.005,5.454,97.972,4.927,1.662
200409,25.864,24.996,0.774,26.599,1.314,230.444,407.408,5.577,97.802,6.418,1.859
200410,26.58,25.646,0.865,27.37,1.425,245.191,412.204,6.794,97.67,4.421,1.959
200411,26.798,25.85,0.862,27.601,1.496,247.489,413.118,7.032,97.595,4.482,2.202
200412,26.283,25.576,0.745,26.882,1.177,205.496,416.968,6.125,97.626,8.083,1.945
200501,25.92,25.37,0.685,26.386,1.058,184.344,419.669,5.169,97.623,8.221,1.571
200502,25.39,25.07,0.36,25.661,0.681,128.707,427.643,3.844,97.656,12.363,1.705
200503,25.479,25.06,0.451,25.835,0.841,159.39,425.25,4.149,97.792,9.631,1.66
200504,25.454,25.031,0.495,25.811,0.828,142.568,426.213,4.219,97.778,9.894,1.539
200505,25.308,24.848,0.49,25.697,0.848,140.066,421.608,4.15,97.797,8.727,1.643
200506,25.462,24.853,0.622,25.977,1.059,168.881,413.825,4.633,97.852,7.364,1.85
200507,25.705,24.892,0.683,26.392,1.331,201.327,408.261,5.516,97.965,7.033,1.623
200508,26.191,25.337,0.721,26.913,1.383,228.128,406.604,5.937,97.85,5.898,1.907
200509,26.624,25.724,0.815,27.385,1.479,247.636,409.136,6.873,97.791,4.854,2.014
200510,26.947,25.964,0.863,27.778,1.529,263.285,410.961,7.608,97.684,4.281,2.308
200511,26.647,25.923,0.648,27.259,1.221,224.092,417.361,6.34,97.553,6.093,2.056
200512,25.246,24.752,0.492,25.665,0.862,157.09,420.636,4.4,97.627,7.9,1.397
200601,25.199,24.827,0.513,25.514,0.85,154.045,420.21,4.187,97.657,8.815,1.738
200602,25.253,24.923,0.5,25.532,0.83,133.722,422.787,4.389,97.718,13.652,1.702
200603,25.258,24.846,0.478,25.607,0.85,149.212,423.608,4.37,97.761,13.191,1.795
200604,25.074,24.653,0.449,25.43,0.775,121.97,424.954,4.092,97.743,19.267,1.398
200605,24.928,24.603,0.338,25.204,0.62,114.338,424.725,3.713,97.91,13.517,1.474
200606,25.127,24.523,0.611,25.638,1.014,164.872,412.368,4.598,97.934,7.377,1.706
200607,25.393,24.604,0.728,26.061,1.286,192.64,405.491,5.316,97.965,5.856,1.867
200608,26.152,25.213,0.912,26.946,1.621,236.15,403.294,6.497,97.842,4.563,1.96
200609,25.945,25.118,0.745,26.645,1.294,228.854,407.104,5.506,97.836,6.663,1.916
200610,27.5,26.349,1.066,28.475,1.868,276.548,412.648,9.221,97.634,2.218,2.183
200611,26.179,25.422,0.746,26.819,1.316,209.28,417.555,6.322,97.624,6.237,1.82
200612,26.665,25.836,0.874,27.366,1.552,234.098,414.225,7.307,97.711,3.873,2.153
200701,26.731,26.119,0.83,27.248,1.529,230.368,417.941,6.954,97.679,5.789,2.236
200702,26.074,25.483,0.763,26.573,1.275,193.363,421.388,6.432,97.755,6.383,2.055
200703,25.099,24.711,0.38,25.427,0.833,145.603,425.402,3.95,97.744,12.894,1.923
200704,25.217,24.801,0.433,25.569,0.794,136.676,426.406,3.909,97.807,12.295,1.686
200705,25.323,24.799,0.466,25.767,0.866,145.592,424.386,3.899,97.818,10.674,1.545
200706,25.499,24.742,0.718,26.14,1.334,189.674,408.476,5.257,97.917,6.022,1.763
200707,25.509,24.695,0.796,26.198,1.443,198.562,406.813,5.265,97.912,6.237,1.672
200708,26.302,25.312,0.901,27.14,1.749,236.763,406.205,6.851,97.823,4.145,1.984
200709,26.607,25.589,0.905,27.468,1.675,258.076,407.111,7.17,97.813,4.388,2.182
200710,26.453,25.599,0.737,27.176,1.424,232.305,413.44,6.69,97.667,4.808,2.155
200711,26.415,25.616,0.778,27.092,1.333,222.811,413.816,6.807,97.562,5.528,2.062
200712,25.535,24.935,0.629,26.043,1.068,183.235,417.097,4.925,97.643,7.938,1.731
200801,25.002,24.57,0.549,25.368,0.903,156.617,418.592,4.352,97.692,9.166,1.944
