Month,RMSE,LUE_Max,Tmin_min,Tmin_max,VPD_min,VPD_max,N_Pop,N_ger,Seed,Melhora %,Tempo_Exec(s)
Janeiro,5.02572980473377,0.002693362262577883,-2.0000000000000764,27.894221301423606,1000.0,6500.0,3000,200,1,21.06550354747236,1656.6833157539368
Fevereiro,5.200672410415402,0.0029938993891170935,-2.0000000000034306,25.51680791842143,170.424664006888,4055.726000316051,3000,200,1,23.064075048988787,1601.0761799812317
Março,4.111165850619546,0.003,-2.000000000001456,22.516766427479073,341.47787256873767,5191.672708605624,3000,200,1,40.03294804332841,1675.6111266613007
Abril,4.404763518560548,0.002999999999999999,-33.86815486710135,16.00920155247205,360.1212284826709,2021.776606339919,3000,200,1,34.95515083279233,1631.1936457157135
Maio,4.095156535232594,0.002999999999999999,-2.00000000000027,22.877602273535743,235.96349874415785,1500.0000000000025,3000,200,1,33.04749480660297,1669.5360600948334
Junho,2.579259301628946,0.002682795334027629,-34.99999999999677,24.714250611213174,199.3641151248674,1500.0,3000,200,1,33.54922118705537,1605.1480708122253
Julho,3.540125128236334,0.002550363434377951,-2.0000001014206297,24.85123415825253,152.40353921572543,1826.0225399672825,3000,200,1,10.70055240904978,1657.3230035305023
Agosto,3.443259543170352,0.0020564581661382192,-2.0000000000000018,29.998009279605196,337.0383435639376,6499.999999999978,3000,200,1,3.869900900035253,1657.5811829566956
Setembro,2.900776523543814,0.0018413698153855376,-2.0000000000015206,25.126242971901636,432.9129917167208,6499.999999999978,3000,200,1,34.58445319334649,1604.74866938591
Outubro,2.889553150986237,0.002499263267962504,-2.0000000000146074,24.53143709987215,778.2076668236489,4824.1279860065915,3000,200,1,54.77469184922749,1664.0998482704163
Novembro,2.4801766541388703,0.0019538435213086224,-2.0000000000000466,24.601797733994914,999.9999999999964,6500.0,3000,200,1,54.4712398497533,1615.2683749198914
Dezembro,4.504670587471978,0.0025472656534295574,-2.0000000000000266,27.975035846598157,62.1650327858353,6499.99999999996,3000,200,1,18.71497327886067,1679.7263417243958
